kmeans_k,kmeans_r,birch,minibatch,spectral_k,spectral_d,agg_w,agg_cl,agg_al
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0
